Cmd Voltage1 Voltage2 Current
-1 31 5676 585
-0.998333 31 5676 585
-0.996667 31 5676 585
-0.995 31 5676 585
-0.993333 31 5676 585
-0.991667 31 5676 585
-0.99 31 5676 585
-0.988333 31 5676 585
-0.986667 31 5676 585
-0.985 27 5745 600
-0.983333 27 5745 600
-0.981667 27 5745 600
-0.98 27 5745 600
-0.978333 27 5745 600
-0.976667 27 5745 600
-0.975 27 5745 600
-0.973333 27 5745 600
-0.971667 27 5745 600
-0.97 27 5745 600
-0.968333 31 5769 594
-0.966667 31 5769 594
-0.965 31 5769 594
-0.963333 31 5769 594
-0.961667 31 5769 594
-0.96 31 5769 594
-0.958333 31 5769 594
-0.956667 31 5769 594
-0.955 31 5769 594
-0.953333 31 5769 594
-0.951667 27 5617 562
-0.95 27 5617 562
-0.948333 27 5617 562
-0.946667 27 5617 562
-0.945 27 5617 562
-0.943333 27 5617 562
-0.941667 27 5617 562
-0.94 27 5617 562
-0.938333 27 5617 562
-0.936667 27 5617 562
-0.935 17 5426 555
-0.933333 17 5426 555
-0.931667 17 5426 555
-0.93 17 5426 555
-0.928333 17 5426 555
-0.926667 17 5426 555
-0.925 17 5426 555
-0.923333 17 5426 555
-0.921667 17 5426 555
-0.92 17 5426 555
-0.918333 27 5284 575
-0.916667 27 5284 575
-0.915 27 5284 575
-0.913333 27 5284 575
-0.911667 27 5284 575
-0.91 27 5284 575
-0.908333 27 5284 575
-0.906667 27 5284 575
-0.905 27 5284 575
-0.903333 27 5284 575
-0.901667 38 5277 593
-0.9 38 5277 593
-0.898333 38 5277 593
-0.896667 38 5277 593
-0.895 38 5277 593
-0.893333 38 5277 593
-0.891667 38 5277 593
-0.89 38 5277 593
-0.888333 38 5277 593
-0.886667 38 5277 593
-0.885 31 5332 564
-0.883333 31 5332 564
-0.881667 31 5332 564
-0.88 31 5332 564
-0.878333 31 5332 564
-0.876667 31 5332 564
-0.875 31 5332 564
-0.873333 31 5332 564
-0.871667 31 5332 564
-0.87 31 5332 564
-0.868333 6 5138 524
-0.866667 6 5138 524
-0.865 6 5138 524
-0.863333 6 5138 524
-0.861667 6 5138 524
-0.86 6 5138 524
-0.858333 6 5138 524
-0.856667 6 5138 524
-0.855 6 5138 524
-0.853333 6 5138 524
-0.851667 13 4944 562
-0.85 13 4944 562
-0.848333 13 4944 562
-0.846667 13 4944 562
-0.845 13 4944 562
-0.843333 13 4944 562
-0.841667 13 4944 562
-0.84 13 4944 562
-0.838333 13 4944 562
-0.836667 13 4944 562
-0.835 24 4809 589
-0.833333 24 4809 589
-0.831667 24 4809 589
-0.83 24 4809 589
-0.828333 24 4809 589
-0.826667 24 4809 589
-0.825 24 4809 589
-0.823333 24 4809 589
-0.821667 24 4809 589
-0.82 24 4809 589
-0.818333 27 5059 615
-0.816667 27 5059 615
-0.815 27 5059 615
-0.813333 27 5059 615
-0.811667 27 5059 615
-0.81 27 5059 615
-0.808333 27 5059 615
-0.806667 27 5059 615
-0.805 27 5059 615
-0.803333 27 5059 615
-0.801667 13 4879 539
-0.8 13 4879 539
-0.798333 13 4879 539
-0.796667 13 4879 539
-0.795 13 4879 539
-0.793333 13 4879 539
-0.791667 13 4879 539
-0.79 13 4879 539
-0.788333 13 4879 539
-0.786667 13 4879 539
-0.785 0 4664 515
-0.783333 0 4664 515
-0.781667 0 4664 515
-0.78 0 4664 515
-0.778333 0 4664 515
-0.776667 0 4664 515
-0.775 0 4664 515
-0.773333 0 4664 515
-0.771667 0 4664 515
-0.77 0 4664 515
-0.768333 10 4421 545
-0.766667 10 4421 545
-0.765 10 4421 545
-0.763333 10 4421 545
-0.761667 10 4421 545
-0.76 10 4421 545
-0.758333 10 4421 545
-0.756667 10 4421 545
-0.755 10 4421 545
-0.753333 20 4341 556
-0.751667 20 4341 556
-0.75 20 4341 556
-0.748333 20 4341 556
-0.746667 20 4341 556
-0.745 20 4341 556
-0.743333 20 4341 556
-0.741667 20 4341 556
-0.74 20 4341 556
-0.738333 20 4341 556
-0.736667 27 4546 610
-0.735 27 4546 610
-0.733333 27 4546 610
-0.731667 27 4546 610
-0.73 27 4546 610
-0.728333 27 4546 610
-0.726667 27 4546 610
-0.725 27 4546 610
-0.723333 27 4546 610
-0.721667 27 4546 610
-0.72 13 4366 520
-0.718333 13 4366 520
-0.716667 13 4366 520
-0.715 13 4366 520
-0.713333 13 4366 520
-0.711667 13 4366 520
-0.71 13 4366 520
-0.708333 13 4366 520
-0.706667 13 4366 520
-0.705 13 4366 520
-0.703333 24 4158 524
-0.701667 24 4158 524
-0.7 24 4158 524
-0.698333 24 4158 524
-0.696667 24 4158 524
-0.695 24 4158 524
-0.693333 24 4158 524
-0.691667 24 4158 524
-0.69 24 4158 524
-0.688333 24 4158 524
-0.686667 24 3936 539
-0.685 24 3936 539
-0.683333 24 3936 539
-0.681667 24 3936 539
-0.68 24 3936 539
-0.678333 24 3936 539
-0.676667 24 3936 539
-0.675 24 3936 539
-0.673333 24 3936 539
-0.671667 24 3936 539
-0.67 17 3898 549
-0.668333 17 3898 549
-0.666667 17 3898 549
-0.665 17 3898 549
-0.663333 17 3898 549
-0.661667 17 3898 549
-0.66 17 3898 549
-0.658333 17 3898 549
-0.656667 17 3898 549
-0.655 17 3898 549
-0.653333 17 4054 567
-0.651667 17 4054 567
-0.65 17 4054 567
-0.648333 17 4054 567
-0.646667 17 4054 567
-0.645 17 4054 567
-0.643333 17 4054 567
-0.641667 17 4054 567
-0.64 17 4054 567
-0.638333 17 4054 567
-0.636667 17 3891 526
-0.635 17 3891 526
-0.633333 17 3891 526
-0.631667 17 3891 526
-0.63 17 3891 526
-0.628333 17 3891 526
-0.626667 17 3891 526
-0.625 17 3891 526
-0.623333 17 3891 526
-0.621667 17 3891 526
-0.62 20 3683 506
-0.618333 20 3683 506
-0.616667 20 3683 506
-0.615 20 3683 506
-0.613333 20 3683 506
-0.611667 20 3683 506
-0.61 20 3683 506
-0.608333 20 3683 506
-0.606667 20 3683 506
-0.605 20 3683 506
-0.603333 17 3485 506
-0.601667 17 3485 506
-0.6 17 3485 506
-0.598333 17 3485 506
-0.596667 17 3485 506
-0.595 17 3485 506
-0.593333 17 3485 506
-0.591667 17 3485 506
-0.59 17 3485 506
-0.588333 17 3485 506
-0.586667 24 3440 510
-0.585 24 3440 510
-0.583333 24 3440 510
