Cmd Voltage1 Voltage2 Current
-1 44 5564 568
-0.998333 41 5547 566
-0.996667 41 5547 566
-0.995 41 5547 566
-0.993333 41 5532 567
-0.991667 41 5532 567
-0.99 39 5540 571
-0.988333 39 5540 571
-0.986667 39 5540 571
-0.985 39 5540 571
-0.983333 39 5540 571
-0.981667 41 5525 576
-0.98 41 5525 576
-0.978333 41 5525 576
-0.976667 40 5527 576
-0.975 40 5527 576
-0.973333 40 5485 580
-0.971667 40 5485 580
-0.97 40 5485 580
-0.968333 40 5485 580
-0.966667 40 5485 580
-0.965 43 5490 590
-0.963333 43 5490 590
-0.961667 43 5490 590
-0.96 45 5487 595
-0.958333 45 5487 595
-0.956667 48 5449 590
-0.955 48 5449 590
-0.953333 48 5449 590
-0.951667 48 5449 590
-0.95 48 5449 590
-0.948333 46 5441 592
-0.946667 46 5441 592
-0.945 46 5441 592
-0.943333 45 5433 589
-0.941667 45 5421 593
-0.94 44 5391 596
-0.938333 44 5391 596
-0.936667 44 5391 596
-0.935 44 5391 596
-0.933333 44 5391 596
-0.931667 46 5387 593
-0.93 46 5387 593
-0.928333 46 5387 593
-0.926667 43 5378 591
-0.925 45 5374 589
-0.923333 41 5323 569
-0.921667 41 5323 569
-0.92 41 5323 569
-0.918333 41 5323 569
-0.916667 41 5323 569
-0.915 41 5298 570
-0.913333 41 5298 570
-0.911667 41 5298 570
-0.91 43 5274 573
-0.908333 40 5264 576
-0.906667 43 5202 577
-0.905 43 5202 577
-0.903333 43 5202 577
-0.901667 43 5202 577
-0.9 43 5202 577
-0.898333 41 5123 574
-0.896667 41 5123 574
-0.895 41 5123 574
-0.893333 35 5089 561
-0.891667 34 5083 562
-0.89 53 4993 572
-0.888333 53 4993 572
-0.886667 53 4993 572
-0.885 53 4993 572
-0.883333 53 4993 572
-0.881667 50 4992 564
-0.88 50 4992 564
-0.878333 50 4992 564
-0.876667 57 4938 576
-0.875 54 4917 564
-0.873333 37 4849 569
-0.871667 37 4849 569
-0.87 37 4849 569
-0.868333 37 4849 569
-0.866667 37 4849 569
-0.865 43 4842 571
-0.863333 43 4842 571
-0.861667 43 4842 571
-0.86 37 4842 564
-0.858333 32 4911 563
-0.856667 35 4905 564
-0.855 35 4905 564
-0.853333 35 4905 564
-0.851667 35 4905 564
-0.85 35 4905 564
-0.848333 37 4891 568
-0.846667 37 4891 568
-0.845 37 4891 568
-0.843333 41 4878 568
-0.841667 39 4857 560
-0.84 43 4814 561
-0.838333 43 4814 561
-0.836667 43 4814 561
-0.835 43 4814 561
-0.833333 43 4814 561
-0.831667 41 4815 558
-0.83 41 4815 558
-0.828333 41 4815 558
-0.826667 43 4809 560
-0.825 39 4753 557
-0.823333 41 4745 549
-0.821667 41 4745 549
-0.82 41 4745 549
-0.818333 41 4745 549
-0.816667 41 4745 549
-0.815 32 4712 540
-0.813333 32 4712 540
-0.811667 32 4712 540
-0.81 25 4674 530
-0.808333 24 4674 530
-0.806667 18 4604 531
-0.805 18 4604 531
-0.803333 18 4604 531
-0.801667 18 4604 531
-0.8 18 4604 531
-0.798333 19 4572 533
-0.796667 19 4572 533
-0.795 18 4535 535
-0.793333 18 4535 535
-0.791667 20 4498 541
-0.79 25 4473 544
-0.788333 25 4473 544
-0.786667 25 4473 544
-0.785 25 4473 544
-0.783333 25 4473 544
-0.781667 26 4435 547
-0.78 26 4435 547
-0.778333 27 4417 545
-0.776667 27 4417 545
-0.775 29 4375 548
-0.773333 31 4367 550
-0.771667 31 4367 550
-0.77 31 4367 550
-0.768333 31 4367 550
-0.766667 31 4367 550
-0.765 34 4355 551
-0.763333 34 4355 551
-0.761667 38 4344 553
-0.76 38 4344 553
-0.758333 41 4311 550
-0.756667 41 4303 553
-0.755 41 4303 553
-0.753333 41 4303 553
-0.751667 41 4303 553
-0.75 41 4303 553
-0.748333 39 4296 551
-0.746667 39 4296 551
-0.745 41 4225 552
-0.743333 41 4225 552
-0.741667 41 4175 547
-0.74 37 4200 546
-0.738333 37 4200 546
-0.736667 37 4200 546
-0.735 37 4200 546
-0.733333 37 4200 546
-0.731667 41 4230 557
-0.73 41 4230 557
-0.728333 39 4317 560
-0.726667 39 4317 560
-0.725 39 4286 572
-0.723333 37 4256 562
-0.721667 37 4256 562
-0.72 37 4256 562
-0.718333 37 4256 562
-0.716667 37 4256 562
-0.715 33 4232 552
-0.713333 33 4232 552
-0.711667 33 4205 551
-0.71 33 4205 551
-0.708333 32 4121 536
-0.706667 32 4089 536
-0.705 32 4089 536
-0.703333 32 4089 536
-0.701667 32 4089 536
