Cmd Voltage1 Voltage2 Current
-1 1409286144 20 2
-0.998333 1409286144 20 2
-0.996667 1409286144 20 2
-0.995 1409286144 20 2
-0.993333 1409286144 20 2
-0.991667 3388997632 20 100663298
-0.99 3388997632 20 100663298
-0.988333 3388997632 20 100663298
-0.986667 3388997632 20 100663298
-0.985 3388997632 20 100663298
-0.983333 3388997632 20 100663298
-0.981667 3388997632 20 100663298
-0.98 3388997632 20 100663298
-0.978333 3388997632 20 100663298
-0.976667 3388997632 20 100663298
-0.975 369098752 21 2
-0.973333 369098752 21 2
-0.971667 369098752 21 2
-0.97 369098752 21 2
-0.968333 369098752 21 2
-0.966667 369098752 21 2
-0.965 369098752 21 2
-0.963333 369098752 21 2
-0.961667 369098752 21 2
-0.96 369098752 21 2
-0.958333 2046820352 20 1
-0.956667 2046820352 20 1
-0.955 2046820352 20 1
-0.953333 2046820352 20 1
-0.951667 2046820352 20 1
-0.95 2046820352 20 1
-0.948333 2046820352 20 1
-0.946667 2046820352 20 1
-0.945 2046820352 20 1
-0.943333 2046820352 20 1
-0.941667 2399141888 19 1
-0.94 2399141888 19 1
-0.938333 2399141888 19 1
-0.936667 2399141888 19 1
-0.935 2399141888 19 1
-0.933333 2399141888 19 1
-0.931667 2399141888 19 1
-0.93 2399141888 19 1
-0.928333 2399141888 19 1
-0.926667 2399141888 19 1
-0.925 3036676096 19 2
-0.923333 3036676096 19 2
-0.921667 3036676096 19 2
-0.92 3036676096 19 2
-0.918333 3036676096 19 2
-0.916667 3036676096 19 2
-0.915 3036676096 19 2
-0.913333 3036676096 19 2
-0.911667 3036676096 19 2
-0.91 3036676096 19 2
-0.908333 2566914048 19 50331650
-0.906667 2566914048 19 50331650
-0.905 2566914048 19 50331650
-0.903333 2566914048 19 50331650
-0.901667 2566914048 19 50331650
-0.9 2566914048 19 50331650
-0.898333 2566914048 19 50331650
-0.896667 2566914048 19 50331650
-0.895 2566914048 19 50331650
-0.893333 2566914048 19 50331650
-0.891667 3271557120 19 2
-0.89 3271557120 19 2
-0.888333 3271557120 19 2
-0.886667 3271557120 19 2
-0.885 3271557120 19 2
-0.883333 3271557120 19 2
-0.881667 3271557120 19 2
-0.88 3271557120 19 2
-0.878333 3271557120 19 2
-0.876667 3271557120 19 2
-0.875 2919235584 19 1
-0.873333 2919235584 19 1
-0.871667 2919235584 19 1
-0.87 2919235584 19 1
-0.868333 2919235584 19 1
-0.866667 2919235584 19 1
-0.865 2919235584 19 1
-0.863333 2919235584 19 1
-0.861667 2919235584 19 1
-0.86 2919235584 19 1
-0.858333 4060086272 17 100663298
-0.856667 4060086272 17 100663298
-0.855 4060086272 17 100663298
-0.853333 4060086272 17 100663298
-0.851667 4060086272 17 100663298
-0.85 4060086272 17 100663298
-0.848333 4060086272 17 100663298
-0.846667 4060086272 17 100663298
-0.845 4060086272 17 100663298
-0.843333 4060086272 17 100663298
-0.841667 469762048 18 1
-0.84 469762048 18 1
-0.838333 469762048 18 1
-0.836667 469762048 18 1
-0.835 469762048 18 1
-0.833333 469762048 18 1
-0.831667 469762048 18 1
-0.83 469762048 18 1
-0.828333 469762048 18 1
-0.826667 469762048 18 1
-0.825 234881024 18 2
-0.823333 234881024 18 2
-0.821667 234881024 18 2
-0.82 234881024 18 2
-0.818333 234881024 18 2
-0.816667 234881024 18 2
-0.815 234881024 18 2
-0.813333 234881024 18 2
-0.811667 234881024 18 2
-0.81 234881024 18 2
-0.808333 4009754624 17 2
-0.806667 4009754624 17 2
-0.805 4009754624 17 2
-0.803333 4009754624 17 2
-0.801667 4009754624 17 2
-0.8 4009754624 17 2
-0.798333 4009754624 17 2
-0.796667 4009754624 17 2
-0.795 4009754624 17 2
-0.793333 4009754624 17 2
-0.791667 3238002688 16 1
-0.79 3238002688 16 1
-0.788333 3238002688 16 1
-0.786667 3238002688 16 1
-0.785 3238002688 16 1
-0.783333 3238002688 16 1
-0.781667 3238002688 16 1
-0.78 3238002688 16 1
-0.778333 3238002688 16 1
-0.776667 3238002688 16 1
-0.775 3774873600 16 1
-0.773333 3774873600 16 1
-0.771667 3774873600 16 1
-0.77 3774873600 16 1
-0.768333 3774873600 16 1
-0.766667 3774873600 16 1
-0.765 3774873600 16 1
-0.763333 3774873600 16 1
-0.761667 3774873600 16 1
-0.76 3774873600 16 1
-0.758333 3539992576 16 1
-0.756667 3539992576 16 1
-0.755 3539992576 16 1
-0.753333 3539992576 16 1
-0.751667 3539992576 16 1
-0.75 3539992576 16 1
-0.748333 3539992576 16 1
-0.746667 3539992576 16 1
-0.745 3539992576 16 1
-0.743333 2315255808 16 2
-0.741667 2315255808 16 2
-0.74 2315255808 16 2
-0.738333 2315255808 16 2
-0.736667 2315255808 16 2
-0.735 2315255808 16 2
-0.733333 2315255808 16 2
-0.731667 2315255808 16 2
-0.73 2315255808 16 2
-0.728333 2315255808 16 2
-0.726667 3355443200 15 1
-0.725 3355443200 15 1
-0.723333 3355443200 15 1
-0.721667 3355443200 15 1
-0.72 3355443200 15 1
-0.718333 3355443200 15 1
-0.716667 3355443200 15 1
-0.715 3355443200 15 1
-0.713333 3355443200 15 1
-0.711667 3355443200 15 1
-0.71 3573547008 14 1
-0.708333 3573547008 14 1
-0.706667 3573547008 14 1
-0.705 3573547008 14 1
-0.703333 3573547008 14 1
-0.701667 3573547008 14 1
-0.7 3573547008 14 1
-0.698333 3573547008 14 1
-0.696667 3573547008 14 1
-0.695 3573547008 14 1
-0.693333 1207959552 15 100663298
-0.691667 1207959552 15 100663298
-0.69 1207959552 15 100663298
-0.688333 1207959552 15 100663298
-0.686667 1207959552 15 100663298
-0.685 1207959552 15 100663298
-0.683333 1207959552 15 100663298
-0.681667 1207959552 15 100663298
-0.68 1207959552 15 100663298
-0.678333 1207959552 15 100663298
-0.676667 1090519040 15 1
-0.675 1090519040 15 1
-0.673333 1090519040 15 1
-0.671667 1090519040 15 1
-0.67 1090519040 15 1
-0.668333 1090519040 15 1
-0.666667 1090519040 15 1
-0.665 1090519040 15 1
-0.663333 1090519040 15 1
-0.661667 1090519040 15 1
-0.66 2063597568 14 1
-0.658333 2063597568 14 1
-0.656667 2063597568 14 1
-0.655 2063597568 14 1
-0.653333 2063597568 14 1
-0.651667 2063597568 14 1
-0.65 2063597568 14 1
-0.648333 2063597568 14 1
-0.646667 2063597568 14 1
-0.645 2063597568 14 1
-0.643333 2231369728 13 1
-0.641667 2231369728 13 1
-0.64 2231369728 13 1
-0.638333 2231369728 13 1
-0.636667 2231369728 13 1
-0.635 2231369728 13 1
-0.633333 2231369728 13 1
-0.631667 2231369728 13 1
-0.63 2231369728 13 1
-0.628333 2231369728 13 1
-0.626667 603979776 13 1
-0.625 603979776 13 1
-0.623333 603979776 13 1
-0.621667 603979776 13 1
-0.62 603979776 13 1
-0.618333 603979776 13 1
-0.616667 603979776 13 1
-0.615 603979776 13 1
-0.613333 603979776 13 1
-0.611667 603979776 13 1
-0.61 3221225472 13 1
-0.608333 3221225472 13 1
-0.606667 3221225472 13 1
-0.605 3221225472 13 1
-0.603333 3221225472 13 1
